Lfd. Nr.,Datum,Areal,Fundstelle,Beschreibung,X,Y,Z
337,09.10.03,Hc.III.7.West,261,Tierterrakottafragment,"1121,98","368,10","113,48"
338,09.10.03,Hc.III.7.Ost,234,Terrakottafragment,"1121,99","364,50","113,03"
339,09.10.03,Hc.III.7.Ost,234,Räucherständerfragment,"1122,00","373,77","113,76"
340,09.10.03,Hc.III.7.Ost,170,polierter Stein,"1122,23","372,99","113,75"
341,09.10.03,Hd.III.6.West,233,3 Muscheln,"1122,23","372,99","113,75"
342,09.10.03,Hc.III.7.West,242,Keramikfragment mit länglicher Applikation,"1122,45",360.7,"113,58"
335,08.10.03,Hc.III.7.West,258,"Wagenrad, vollständig","1122,72","376,30","114,15"
336,08.10.03,Hc.III.7.West,260,Bronzeklumpen,"1122,95","376,82","114,16"
334,07.10.03,Hc.III.7.West,257,"schwarzer, polierter Stein","1123,11","376,98","114,17"
333,05.10.03,Hc.III.7.Ost,248,Bergkristallperle,"1120,30","374,70","114,40"
331,04.10.03,Hc.III.7.Ost,235,"Schüssel, zerscherbt","1120,30","374,70","114,40"
332,04.10.03,Hc.III.7.West,245,Tonklumpen,"1120,46","373,25","113,91"
327,02.10.03,Hc.III.7.West,241,"durchbohrte Muschel, vollständig","1120,65","374,60","113,62"
328,02.10.03,Hc.III.7.West,219,"Keramikfragment, verziert, mit figürlichen Applikatoren (?)","1120,93","376,25","113,98"
329,02.10.03,Hc.III.7.West,219,Körper einer weibl. Terrakotte,"1121,17","376,65","113,06"
330,02.10.03,Hc.III.7.West,219,Terrakottenfuß,"1121,19","376,42","114,03"
320,01.10.03,Hc.III.7.West,219,"Wagenmodell, beschädigt","1121,29","373,40","113,89"
321,01.10.03,Hc.III.7.West,218,längliches Bronzefragment,"1121,31","368,70","113,58"
322,01.10.03,Hc.III.7.West,218,Wagenmodellfragment,"1121,33","375,15","114,07"
323,01.10.03,Hc.III.7.West,219,"Miniaturgefäß, Profil","1121,39","362,90","112,33"
324,01.10.03,Hc.III.7.West,219,Flintfragment,"9,91","7,77","112,52"
